site	ZFT	ZFP	ZFL	RE	temp	ph	cond	do	srp	din	alt	order	basin	precip	catch_area	urb	agric	nat
1	257	2	246	69	2	9	417.7	8.82	0.026	0.18	258	4	Llobregat	634	23.96	0	0	100
2	124	6	13	92	5.9	9.09	239.6	8.49	0.015	1.059	468	4	Llobregat	692	8.68	0	0	100
3	112	1	112	15	12.7	8.08	314.3	6.28	0.014	0.424	430	3	Besós	788	6.5	2.17	0.82	97.01
4	64	2	18	47	13.5	8.48	221.1	8.21	0.022	0.262	540	4	Besós	748	19.35	0	1.9	98.1
5	234	5	25	81	9.9	8.94	556	5.72	0.229	11.614	620	2	Foix	568	1.65	0	27.12	72.88
6	136	4	60	36	14.2	8.1	827	4.5	0.014	1.664	390	3	Foix	574	1.89	0	96.44	3.56
7	73	1	73	33	13.7	8.97	713.7	6.78	0.017	4.341	330	4	Foix	590	26.87	0	100	0
8	35	1	35	57	13	8.54	227	7.24	0.022	1.974	170	3	Tordera	908	12.44	0.79	3.27	95.94
9	0	0	0	258	11.8	8.67	249.9	6.25	0.027	3.244	655	4	Tordera	875	49.06	0	0	100
10	17	1	17	51	14.3	8.53	217	8.48	0.175	3.681	110	4	Tordera	908	12.44	0	0	100
11	134	1	134	17	14.4	8.53	306.8	8.39	0.009	5.257	110	3	Tordera	865	49.06	0	0.59	99.41
12	108	1	108	29	10.1	8.08	151.3	7.78	0.007	2.349	240	4	Tordera	874	49.06	0.49	0.74	98.77
13	0	0	0	248	14	8.17	368	7.2	0.022	1.723	385	2	Ter	1013	13.41	0	1.8	98.2
14	86	7	41	141	6	9.01	403	8.88	0.006	1.544	530	2	Ter	963	13.32	0	16.67	83.33
15	17	2	6	56	13.5	8.71	502.5	8.17	0.061	1.186	920	2	Ter	1063	3.71	0	29.03	70.97
16	0	0	0	248	12.1	8.96	439.4	6.85	0.022	6.141	385	3	Ter	1038	9.17	0	0.89	99.11
17	0	0	0	248	10	9.09	359.4	7.44	0.01	2.431	630	4	Ter	953	30.99	1.44	0.03	98.53
18	111	3	72	17	12.1	8.77	451.4	8.3	0.014	0.274	632	4	Ter	953	30.99	0	2.73	97.27
19	76	4	12	15	18.1	8.18	589	6.56	0.026	3.57	81	4	Ter	815	7.71	0	6.25	39.75
20	216	5	107	30	7.4	6.79	492.7	8.26	0.008	0.538	526	3	Ter	963	13.32	0	0.58	99.42
21	68	1	68	26	7.9	8.16	542.4	5.3	0.164	4.807	140	3	Ter	816	7.71	0	78.49	21.51
22	0	0	0	273	12.1	8.84	426.8	7.09	0.014	0.734	605	4	Francolí	470	28.93	0	14.13	85.87
23	10	3	3	140	8	8.5	636.3	8.11	0.287	5.576	266	3	Fluviá	997	13.78	0	18.42	81.58
24	168	8	5	71	7.2	9.06	234.8	6.46	0.079	2.554	475	4	Fluviá	475	965.43	0.05	2.27	97.69
25	0	0	0	249	13.7	8.75	327.4	9.12	0.006	1.003	258	4	Muga	1093	44.93	0	0.54	99.46
26	127	7	5	9	13	8.46	223.9	6.2	0.032	0.693	100	3	Muga	842	13.53	0	99.49	0.51
27	111	1	111	6	16.6	7.83	189.6	7.48	0.022	2.276	88	4	Muga	868	48.69	0	1.99	98.01
28	194	1	194	58	5.6	8.27	1254	4.67	0.009	1.087	415	4	Ebro	638	116.46	0	98.99	1.01
29	74	1	74	71	17.6	8.09	1367	6.09	0.021	6.502	170	4	Ebro	540	1035.67	0	30.49	69.51
30	0	0	0	336	11.6	8.82	287.4	8.02	0.011	1.867	492	3	Ebro	667	207.51	0.18	98.16	1.66
31	89	3	71	41	12.1	8.75	1009	5.49	0.068	8.632	85	3	Ebro	709	29.17	0	1.75	98.25
32	95	2	5	24	10.6	8.08	788	4.62	0.011	0.839	225	4	Ebro	561	70.51	0	96.94	3.06
33	13	3	3	102	12.9	8.42	3458	7.12	0.021	0.335	487	3	Ebro	427	34.99	0	95.28	4.72
