"ric"	"abun"	"FR"	"meanRD"	"FR.GAT"	"FR.PRE"	"FR.GRA"	"FR.SHR"	"FR.OMNI"	"FR.FIL"	"RD.GAT"	"RD.PRE"	"RD.GRA"	"RD.SHR"	"RD.OMNI"	"RD.FIL"
"site1"	19	23225	4645	0.236297498963342	1725	575	1625	350	18950	0	0.400116461225604	0.221587663807161	0.312536539338902	0.317581275385574	0.351741724901353	0
"site2"	20	22725	3787.5	0.277121782351361	7950	2025	1550	1125	8800	1275	0.421403012649919	0.317913174581481	0.272626363165822	0.348652463074785	0.335791972122154	0
"site3"	15	10200	1700	0.00501484035020729	325	75	475	425	6450	2450	0.421654431844261	0.30762274057228	0.228692294636276	0.354424083982272	0.261963846642079	0
"site4"	21	92925	15487.5	0.243260073121994	12200	525	49700	600	22100	7800	0.357957998049958	0.243929289507138	0.337931793022287	0.361669888398538	0.328766285820717	0
"site5"	9	750	150	-0.793831000149853	100	25	100	75	450	0	0.198603584608433	0	0.331523045241266	0	0.257009992931679	0
"site6"	12	20225	5056.25	-0.615421503128318	1025	0	1025	0	15650	2525	0	0	0.247459185032209	0	0.390543629885672	0.31069414112259
"site7"	24	27275	4545.83333333333	0.738783037985226	1150	275	1525	1700	12650	9975	0.384604852935688	0.268684333929378	0.320667246474413	0.393600538485257	0.361216344393613	0.304906840837512
"site8"	14	86175	14362.5	-0.222433458972055	2175	1125	4600	55050	18400	4825	0.328282840218369	0	0.250975025108649	0.264634020871527	0.272438234720208	0.220444651406295
"site9"	26	26600	4433.33333333333	0.181971457133046	1525	2425	12625	5700	2150	2175	0.335431034276933	0.393188840871752	0.275155251088601	0.279841253168829	0.343101711767647	0
"site10"	28	104275	17379.1666666667	0.377335641857261	28575	7625	31775	950	15700	19650	0.437077079431368	0.322631195894405	0.347430289025834	0	0.319498102432081	0.234250480035694
"site11"	20	33200	5533.33333333333	-0.0780014133093245	7450	225	4550	1050	19500	425	0.325526565348635	0	0.347417885990617	0.361279404936802	0.316133570469235	0
"site12"	21	92775	15462.5	-0.0632923438979287	31425	1200	7875	21850	28700	1725	0.309462901019222	0.188256931520053	0.308727675859698	0.34588495143066	0.288871034216269	0
"site13"	26	91750	15291.6666666667	0.429179064511943	6550	5500	1250	23975	53625	850	0.432363452512982	0.329917782159876	0.294698645151482	0.383714669112784	0.160148262591187	0.36953377548224
"site14"	22	37700	7540	-0.10770426601616	12250	300	2675	225	22250	0	0.430096284287794	0.21912602999769	0.300718116378173	0	0.328562164026973	0
"site15"	43	136525	22754.1666666667	0.926236478429164	71850	6525	10325	5650	35500	6675	0.432123885962418	0.346933603710138	0.29068293619517	0.342814636504427	0.383930187982029	0.384864779534745
"site16"	16	43725	7287.5	0.202420474982073	4375	2800	75	725	35600	150	0.428985844875686	0.34808477074183	0.255634594099601	0.347201825927048	0.300957356106186	0
"site17"	34	59425	9904.16666666667	0.532645478297561	18425	4875	22775	650	8400	4300	0.430016167723961	0.365040219127293	0.315392898873068	0	0.351831547590832	0.334360286195515
"site18"	25	19500	3250	0.316043736909109	8925	1400	3700	1825	3550	100	0.435640965366975	0.373940033984774	0.280822449485241	0.277167226549271	0.33903519442265	0
"site19"	18	35525	7105	0.0938153425331738	15425	625	9575	0	3200	6700	0.411966860035175	0.332800386279506	0.309886219145201	0	0.366282600317444	0
"site20"	25	32425	5404.16666666667	0.348001115363007	13375	800	5925	400	11900	25	0.436385114835498	0.335345423356457	0.383312220805528	0	0.387664763373412	0
"site21"	9	20275	5068.75	-1.07086979611305	1075	625	1375	0	17200	0	0.367963327264617	0	0	0	0.348688672602898	0
"site22"	35	81475	13579.1666666667	0.486373910382124	10350	1225	13900	5625	48725	1650	0.435504593138371	0.314554113811793	0.357547281352287	0	0.354909626679486	0.248396449820778
"site23"	23	42300	8460	0.0927538776344091	22425	1150	4300	0	14375	50	0.405061102274653	0.258843929341251	0.35169604669925	0	0.364260684253353	0
"site24"	10	3175	635	-0.774772650680222	2300	25	325	125	400	0	0.361979250116951	0	0.141140637827717	0	0.343280998240359	0
"site25"	24	9375	1562.5	0.588881503504586	1125	475	1850	50	4875	1000	0.440482659453485	0.293582796316296	0.295153266326439	0.348834239599714	0.307705067533311	0.271205862977871
"site26"	10	7500	1500	-1.03240784900371	25	175	5625	25	1650	0	0	0	0.280458985605712	0	0.336717311609204	0
"site27"	14	12175	3043.75	-0.260227708489767	350	0	9300	25	2500	0	0.357753273073284	0	0.341902130000747	0	0.373702685686424	0
"site28"	16	12475	2495	-0.00901056319339578	2725	375	1750	1350	6275	0	0.385845307711329	0	0.311721165300637	0.322662525722917	0.357456541593456	0
"site29"	19	186500	37300	-0.120534413840539	10875	225	4350	325	170725	0	0.40850606361904	0	0.280153171862538	0.322803834855913	0.324323634254137	0
"site30"	42	212825	35470.8333333333	0.828725866489847	33650	875	51325	79250	44925	2800	0.438718309936322	0.368748961706087	0.344707868840631	0.320388924077278	0.34654598783433	0.261898802689224
"site31"	39	195875	32645.8333333333	0.0461098065589272	61325	5050	9750	2550	110575	6625	0.439173250011263	0.340209532665517	0.271337814880499	0	0.361551675993639	0
"site32"	12	1275	318.75	-1.48411736296917	675	25	425	0	150	0	0.350303164914258	0	0.181244142728044	0	0	0
"site33"	23	139575	23262.5	-0.31834665759487	1675	2775	1325	1050	132350	400	0.419655937043713	0.296246433493559	0.177329231040519	0	0.32843422250586	0
