site	taxon_k1	taxon_k2	taxon_k3	taxon_k4	taxon_k5	taxon_k6	taxon_k7	taxon_k8	taxon_k9	taxon_k10	taxon_k11	taxon_k12	taxon_k13	taxon_k14	taxon_k15	taxon_k16	taxon_k17	taxon_k18	taxon_k19	taxon_k20	taxon_k21	taxon_k22	taxon_k23	taxon_k24	taxon_k25	taxon_k26	taxon_k27	taxon_k28	taxon_k29	taxon_k30	taxon_k31	taxon_k32	taxon_k33	taxon_k34	taxon_k35	taxon_k36	taxon_k37	taxon_k38	taxon_k39	taxon_k40	taxon_k41	taxon_k42	taxon_k43	taxon_k44	taxon_k45	taxon_k46	taxon_k47	taxon_k48	taxon_k49	taxon_k50	taxon_k51	taxon_k52	taxon_k53	taxon_k54	taxon_k55	taxon_k56	taxon_k57	taxon_k58	taxon_k59	taxon_k60	taxon_k61	taxon_k62	taxon_k63	taxon_k64	taxon_k65	taxon_k66	taxon_k67	taxon_k68	taxon_k69	taxon_k70	taxon_k71	taxon_k72	taxon_k73
site1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
site2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
site3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
site4	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
site5	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
site6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
site7	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
site8	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
site9	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
site10	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
