site	taxon_s1	taxon_s2	taxon_s3	taxon_s4	taxon_s5	taxon_s6	taxon_s7	taxon_s8	taxon_s9	taxon_s10	taxon_s11	taxon_s12	taxon_s13	taxon_s14	taxon_s15	taxon_s16	taxon_s17	taxon_s18	taxon_s19	taxon_s20	taxon_s21	taxon_s22	taxon_s23	taxon_s24	taxon_s25	taxon_s26	taxon_s27	taxon_s28	taxon_s29	taxon_s30	taxon_s31	taxon_s32	taxon_s33	taxon_s34	taxon_s35	taxon_s36	taxon_s37	taxon_s38	taxon_s39	taxon_s40	taxon_s41	taxon_s42	taxon_s43	taxon_s44	taxon_s45	taxon_s46	taxon_s47	taxon_s48	taxon_s49	taxon_s50	taxon_s51	taxon_s52	taxon_s53	taxon_s54	taxon_s55	taxon_s56	taxon_s57	taxon_s58	taxon_s59	taxon_s60	taxon_s61	taxon_s62	taxon_s63	taxon_s64	taxon_s65	taxon_s66
site1	1	59	5	0	0	0	0	0	9	0	0	0	0	200	164	0	0	0	0	4	0	1	0	0	4	0	14	8	0	0	0	0	8	0	3	387	3	40	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
site2	74	227	32	0	0	0	0	0	0	0	0	0	0	1	216	0	0	21	0	0	0	1	51	1	11	0	2	15	0	0	0	0	10	0	18	117	12	38	0	0	0	0	0	0	28	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
site3	0	5	1	0	0	0	0	0	0	9	0	0	1	0	30	0	0	0	0	0	0	4	98	4	2	1	0	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	227	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
site4	8	448	20	0	0	0	0	0	0	8	0	0	1	8	771	0	0	0	0	10	0	32	312	0	15	0	147	0	0	0	0	0	126	0	0	4	1715	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
site5	1	3	1	0	0	0	0	1	0	0	0	0	0	0	16	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
site6	0	41	0	0	0	0	0	0	0	0	0	0	0	0	159	88	0	0	0	0	0	0	12	0	0	4	0	0	0	0	0	0	1	89	9	370	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
site7	3	17	0	1	0	1	8	0	0	17	1	27	0	0	407	0	14	10	0	82	0	0	371	0	24	49	0	26	0	0	0	0	1	0	0	16	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
site8	21	64	45	0	0	180	0	0	0	0	0	0	0	34	675	0	2	0	0	27	0	0	191	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2199	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
site9	20	32	0	32	0	463	0	1	0	0	0	0	8	25	40	0	0	16	0	9	0	0	87	0	0	8	0	0	0	0	0	9	0	0	0	8	0	1	42	1	0	1	0	2	0	27	0	0	4	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
site10	27	1056	229	8	0	17	0	0	0	0	0	0	0	16	441	0	10	30	0	0	0	16	776	8	38	226	30	19	0	0	0	17	534	0	0	171	430	18	0	0	0	0	1	0	44	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
site11	28	261	0	0	0	113	0	8	0	0	1	0	0	435	325	0	0	0	0	0	0	0	17	0	17	21	0	0	0	0	0	9	9	0	0	18	0	31	0	0	0	0	0	0	9	0	16	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
site12	172	1077	46	32	0	248	0	0	0	1	0	0	0	391	727	0	0	0	0	0	0	0	69	0	18	22	0	0	0	0	0	8	5	0	0	8	0	8	0	0	0	0	0	0	0	0	0	2	0	529	0	326	0	0	0	0	0	0	0	0	22	0	0	0	0	0
site13	1	132	0	9	0	16	8	0	0	32	0	921	0	4	2141	0	11	0	0	0	0	49	20	8	6	8	0	0	0	3	47	25	8	0	0	0	0	0	8	0	1	3	194	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
site14	75	212	2	0	0	15	0	0	8	0	0	0	0	86	211	0	0	2	0	1	0	184	0	13	9	9	0	0	0	0	0	6	29	0	54	354	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0
site15	40	422	95	65	4	17	120	0	0	18	0	0	32	32	1205	0	0	0	0	20	0	12	18	58	2	178	0	2267	0	177	0	48	12	0	16	95	0	17	1	1	5	1	26	1	0	5	0	33	0	0	0	0	0	72	52	0	27	43	0	0	0	0	18	0	200	6
site16	0	159	9	0	0	0	0	0	0	0	0	9	0	0	110	0	0	0	0	0	0	8	6	8	20	2	0	0	0	0	0	0	0	0	0	1314	0	1	0	0	0	11	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0
site17	1	27	19	0	0	853	34	0	2	0	0	0	33	16	214	0	0	8	0	88	0	0	101	19	26	18	0	646	0	2	0	44	1	0	1	13	2	3	2	0	0	5	29	0	0	58	0	0	4	0	0	0	0	23	0	0	0	26	0	0	0	46	13	0	0	0
