genus 	a1	a2	a3	a4	a5	a6	a7	b1	b2	c1	c2	c3	d1	d2	d3	d4	e1	e2	e3	e4	e5	e6	e7	e8	f1	f2	f3	f4	g1	g2	g3	g4	g5	j1	j2	j3	j4	j5	u1	u2	u3	u4	u5	u6	u7	u8	h1	h2	h3	h4	h5	h6	h7	h8	h9	i2	i3	i4	i5	i6	i7	i8	GRA	MIN	XYL	SHR	GAT	AFF	PFF	PRED	PAR	OTHER
taxon1	0	0	0	0	0	3	0	0	1	0	3	0	2	2	0	2	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
taxon2	0	0	0	0	1.5	3	1.5	0	1	0	0	3	3	3	0	3	0	0	0	2.5	0	0	0	1.5	1	0	0	0	0	1.5	0	0	2.5	3	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
taxon3	0	1.647058824	0.588235294	0.764705882	0.264705882	0.029411765	0	0.655	3	0	2	2	3	3	0	2.029411765	0	0	0	3	0	0.448	0	0	0.441176471	1	0	2.911764706	0	0	0	0	3	0.621	0	0	2	2	0.970588235	0	2.911764706	2.970588235	0	0.147058824	0	0	0	0	0	0	0	0	1.558823529	3	0.5	0	3	0	0	2.911764706	0.058823529	0	0	0	0	0	0.013513514	0	0	0.978108108	0	0.008378378
taxon4	0	3	0	0	0	0	0	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0	1	0	0	4	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0.9	0	0	0	0.1	0	0	0	0	0
taxon5	0	3	0	0	0	0	0	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0	1	0	0	4	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0.8	0	0	0	0.2	0	0	0	0	0
taxon6	0	3	0	0	0	0	0	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0	1	0	0	4	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0.9	0	0	0.05	0.05	0	0	0	0	0
taxon7	0	3	0	0	0	0	0	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0	1	0	0	4	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0.63	0	0	0	0.37	0	0	0	0	0
taxon8	0	3	0	0	0	0	0	1	3	0	3	1	3	0	0	3	0	0	0	0	0	0	3	0	2	1	0	3	0	0	0	0	3	0	0	3	0	0	1	0	3	3	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0.505	0	0	0.013	0.011	0	0.005	0.455	0	0.011
taxon9	0	0	3	1	0	0	0	1	3	0	1	3	3	3	0	2	0	0	0	3	0	0	0	0	0	1	0	3	0	0	0	0	3	0	0	3	1	0	1	0	3	3	0	0	0	0	0	0	0	3	0	0	3	1	0	0	3	0	0	0	1	0	0.15	0	0	0	0.15	0	0	0.7	0	0
taxon10	0.4	2.2	0.6	0	0	0	0	1	3	0	3	0	3	3	0	0	0	0	0	0	0	0	3	0	0.6	1	0	3	0	0	0	0	3	1	3	0	0	0	0	0	0	5	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
taxon11	0	0	1.5	1.5	0	0	0	2	2	0	1	2.5	3	3	0	3	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	3	0	0	0	0	0	0	3	0	2	0	0	0	1	3	1	1	0	0	0	0	0	3	0	0	0	0	0	0.1625	0	0	0.375	0.2125	0	0	0	0	0.25
taxon12	0	0	0	0.666666667	2.666666667	0	0	1	3	0	0	3	3	3	0	3	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	0	3	0	0	0	0	0	1.666666667	3	0.333333333	1.333333333	0	0	0	2.333333333	3.666666667	1.333333333	0.666666667	1.333333333	1.666666667	1	0	0	3	0.333333333	0	0	0	0	0.042	0	0	0.598333333	0.248333333	0	0.027333333	0.055333333	0	0.028666667
taxon13	0	0	0	1.5	1.5	0	0	3	1	0.667	3	0	0	3	0	0	0	0	0	0	0	0	3	0	0.5	1	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
taxon14	0	1.25	1.25	1.5	0	0	0	3	0	0	2	1.25	0.25	2.5	2	0	0	0	0.25	3	0	0	0	0	0.75	0.25	0	2	0.75	0	0	0	3	0	3	0	0	0	0	0.5	0.75	3.5	1	0	0	0	0	0.25	0.75	3.25	0.5	0.25	1	0.5	0	1.5	0.5	0.75	0	0	0.75	0	0.4	0	0	0.2	0.25	0	0	0.15	0	0
taxon15	0	0.8	2.6	1.2	0.4	0	0	3	0	0	1.6	1.8	0.2	2.8	3	0	0.4	0	0	1.2	2.6	0	0.4	0	1.8	1	1.8	1	0	0	0	0.4	3	3	1	0	0	0	0	0	1.6	2.6	1.4	1	1	0	0.2	2.4	0.4	2	0.6	0.2	1.6	1.2	0	1.4	0.8	1.6	0.8	0	1.4	0.4	0.195888889	0.008055556	0.000888889	0.040055556	0.448944444	0.097777778	0.012	0.192777778	0.003277778	0.000333333
taxon16	0	0.5	3	0	0	0	0	3	0	0	2	2	1	3	3	0	0	3	0	0	1	0	0	0	0	0	2	3	2	0	0	2	0.5	0	0	0	3	0	0	4.5	0.5	0	0	0	0	0	0	3	0	3	0	0	3	0	0	2	0	1	0	0	2.5	0	0.465	0	0	0	0	0.295	0	0.24	0	0
taxon17	0	0	3	0	0	0	0	3	0	0	3	0	2	2.5	1.5	0	0	0	0	3	1	0	1	0	3	1	1	0	0	0	0	2	0	0	0	0	3	0	0	3	1.5	1	0	0	1	0	0	2	0	3	0	0	2.5	0	0	0	1	0	3	0	2	0	0	0	0	0	0.4375	0	0.5625	0	0	0
taxon18	0	0	3	0	0	0	0	3	0	0	3	1.5	0	2.5	3	0	0	0	0	0	0	0	2	0	1	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0.5	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
taxon19	0	1	3	3	0	0	0	3	0	0	3	1	1	2	1	0	0	0	1	1	0	2	2	0	0	0	0	1	0	0	0	2	2	0	0	0	3	0	0	0	0	2	3	0	0	0	0	2	1	5	2	1	0	2	0	1	1	3	3	1	0	1	0.2	0.2	0.2	0.2	0	0	0	0.2	0	0
